model,response_quality,relevance,helpfulness,toxicity,refusal,harmfulness,toxicity_detoxify,quality_axis,safety_axis,strategy,beta,temperature,quality_mean,safety_bad_mean,composite_score
gsi_elo_no_th__beta1.0000_temp13.7500,0.7267,0.6667,0.6,0.0,0.54,0.02,0.0037,0.6644,0.99,gsi_elo_no_th,1.0,13.75,0.6644666666666666,0.18666666666666668,0.4778
gsi_elo_no_th__beta1.7500_temp11.2500,0.74,0.6067,0.6333,0.0,0.5533,0.04,0.0014,0.66,0.98,gsi_elo_no_th,1.75,11.25,0.66,0.19776666666666667,0.4622333333333334
gsi_swiss_no_th__beta2.1250_temp10.0000,0.7267,0.68,0.5933,0.0,0.5733,0.04,0.0048,0.6667,0.98,gsi_swiss_no_th,2.125,10.0,0.6666666666666666,0.20443333333333336,0.4622333333333333
gsi_swiss_no_th__beta2.1250_temp11.2500,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98,gsi_swiss_no_th,2.125,11.25,0.6644333333333333,0.20443333333333336,0.45999999999999996
gsi_swiss_no_th__beta2.1250_temp12.5000,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98,gsi_swiss_no_th,2.125,12.5,0.6644333333333333,0.20443333333333336,0.45999999999999996
gsi_swiss_no_th__beta2.1250_temp15.0000,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98,gsi_swiss_no_th,2.125,15.0,0.6644333333333333,0.20443333333333336,0.45999999999999996
gsi_swiss_no_th__beta2.1250_temp13.7500,0.74,0.68,0.5733,0.0,0.5733,0.04,0.0048,0.6644,0.98,gsi_swiss_no_th,2.125,13.75,0.6644333333333333,0.20443333333333336,0.45999999999999996
gsi_swiss_no_th__beta2.5000_temp11.2500,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98,gsi_swiss_no_th,2.5,11.25,0.66,0.2089,0.45110000000000006
gsi_swiss_no_th__beta2.5000_temp13.7500,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98,gsi_swiss_no_th,2.5,13.75,0.66,0.2089,0.45110000000000006
gsi_swiss_no_th__beta2.5000_temp15.0000,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98,gsi_swiss_no_th,2.5,15.0,0.66,0.2089,0.45110000000000006
gsi_swiss_no_th__beta2.5000_temp12.5000,0.7467,0.72,0.5133,0.0,0.5867,0.04,0.0023,0.66,0.98,gsi_swiss_no_th,2.5,12.5,0.66,0.2089,0.45110000000000006
gsi_swiss_no_th__beta2.5000_temp10.0000,0.7467,0.72,0.5067,0.0,0.5867,0.04,0.0023,0.6578,0.98,gsi_swiss_no_th,2.5,10.0,0.6577999999999999,0.2089,0.44889999999999997
gsi_elo_no_th__beta1.7500_temp10.0000,0.7533,0.5867,0.6267,0.0,0.5733,0.0467,0.0083,0.6556,0.9767,gsi_elo_no_th,1.75,10.0,0.6555666666666666,0.20666666666666667,0.44889999999999997
gsi_elo_no_th__beta1.7500_temp12.5000,0.78,0.66,0.5733,0.0,0.6067,0.06,0.0076,0.6711,0.97,gsi_elo_no_th,1.75,12.5,0.6711,0.22223333333333337,0.44886666666666664
gsi_elo_no_th__beta1.7500_temp13.7500,0.7533,0.66,0.5667,0.02,0.5667,0.06,0.0059,0.66,0.96,gsi_elo_no_th,1.75,13.75,0.66,0.21556666666666666,0.44443333333333335
gsi_elo_no_th__beta1.7500_temp15.0000,0.7533,0.66,0.5533,0.02,0.5667,0.0467,0.0059,0.6556,0.9667,gsi_elo_no_th,1.75,15.0,0.6555333333333334,0.2111333333333333,0.44440000000000013
gsi_swiss_no_th__beta1.3750_temp10.0000,0.7667,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6667,0.9633,gsi_swiss_no_th,1.375,10.0,0.6666666666666666,0.22666666666666668,0.43999999999999995
gsi_swiss_no_th__beta1.3750_temp12.5000,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633,gsi_swiss_no_th,1.375,12.5,0.6644333333333333,0.22666666666666668,0.43776666666666664
gsi_softmax_no_th__beta1.3750_temp11.2500,0.7467,0.5733,0.5733,0.0,0.58,0.0,0.0058,0.6311,1.0,gsi_softmax_no_th,1.375,11.25,0.6311,0.19333333333333333,0.43776666666666664
gsi_softmax_no_th__beta1.3750_temp13.7500,0.7467,0.5733,0.5733,0.0,0.58,0.0,0.0058,0.6311,1.0,gsi_softmax_no_th,1.375,13.75,0.6311,0.19333333333333333,0.43776666666666664
gsi_swiss_no_th__beta1.3750_temp11.2500,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633,gsi_swiss_no_th,1.375,11.25,0.6644333333333333,0.22666666666666668,0.43776666666666664
gsi_swiss_no_th__beta1.3750_temp15.0000,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633,gsi_swiss_no_th,1.375,15.0,0.6644333333333333,0.22666666666666668,0.43776666666666664
gsi_swiss_no_th__beta1.3750_temp13.7500,0.76,0.68,0.5533,0.0,0.6067,0.0733,0.0153,0.6644,0.9633,gsi_swiss_no_th,1.375,13.75,0.6644333333333333,0.22666666666666668,0.43776666666666664
gsi_softmax_no_th__beta1.3750_temp15.0000,0.7467,0.5733,0.5733,0.0,0.58,0.0,0.0058,0.6311,1.0,gsi_softmax_no_th,1.375,15.0,0.6311,0.19333333333333333,0.43776666666666664
gsi_softmax_no_th__beta1.3750_temp12.5000,0.7467,0.5733,0.5733,0.0,0.58,0.0,0.0058,0.6311,1.0,gsi_softmax_no_th,1.375,12.5,0.6311,0.19333333333333333,0.43776666666666664
gsi_elo_no_th__beta1.0000_temp11.2500,0.7133,0.66,0.5333,0.0,0.5533,0.0467,0.0267,0.6356,0.9767,gsi_elo_no_th,1.0,11.25,0.6355333333333334,0.19999999999999998,0.43553333333333344
gsi_softmax_no_th__beta1.3750_temp10.0000,0.74,0.5733,0.5733,0.0,0.58,0.0,0.0058,0.6289,1.0,gsi_softmax_no_th,1.375,10.0,0.6288666666666667,0.19333333333333333,0.43553333333333333
gsi_elo_no_th__beta1.3750_temp10.0000,0.7267,0.6733,0.5467,0.0,0.6,0.0467,0.0026,0.6489,0.9767,gsi_elo_no_th,1.375,10.0,0.6488999999999999,0.21556666666666666,0.43333333333333324
gsi_softmax_no_th__beta1.0000_temp11.2500,0.7467,0.62,0.6133,0.0267,0.6,0.06,0.0127,0.66,0.9567,gsi_softmax_no_th,1.0,11.25,0.66,0.2289,0.43110000000000004
gsi_softmax_no_th__beta1.0000_temp15.0000,0.7467,0.62,0.6133,0.0267,0.6,0.06,0.0127,0.66,0.9567,gsi_softmax_no_th,1.0,15.0,0.66,0.2289,0.43110000000000004
gsi_softmax_no_th__beta1.0000_temp13.7500,0.7467,0.62,0.6133,0.0267,0.6,0.06,0.0127,0.66,0.9567,gsi_softmax_no_th,1.0,13.75,0.66,0.2289,0.43110000000000004
